id,amis,chinese,sound,image
TITLE,恆春阿美語 否定句 5_1到5_27,,,
sentence1,"A: O ^ekong koriraan haw? B: Cowa, cowa ko ^ekong kora.",A: 那是貓頭鷹嗎？ B: 不，那不是貓頭鷹。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_1.mp3,
sentence2,"A: O singsi cingra haw? B: Cowa,cowa ko singsi cingra.",A: 他是老師嗎？ B: 不，他不是老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_2.mp3,
sentence3,"A: O singsi iso cingra haw? B: Cowa, cowa ko singsi ako cingra.",A: 她是你的老師嗎？ B: 不，她不是我的老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_3.mp3,
sentence4,"A: O kahengangay ko riko’ ningra haw? B: Cowa, cowa ko kahengangay ko riko’ ningra.",A: 她的衣服是紅色的嗎？ B: 不，她的衣服不是紅色的。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_4.mp3,
sentence5,"A: Kaletengay kora ’axenan haw? B: Cowa, cowa ka kaleteng kora ’axenan.",A: 那張椅子很重嗎？ B: 不，那張椅子不重。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_5.mp3,
sentence6,"A: ’Akawangay ko wina iso haw? B: Cowa, cowa ka ’akawang cingra.",A: 你媽媽很高嗎？ B: 不，我媽媽不高。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_6.mp3,
sentence7,"A: Ki’edaway ko fokes no miso haw? B: Cowa, cowa ka ki’edaw ko fokes ako.",A: 你的頭髮很長嗎？ B: 不，我的頭髮不長。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_7.mp3,
sentence8,"A: Malalokay kora tamdaw haw? B: Cowa,cowa ka lalok cingra.",A: 那個人很勤勞嗎？ B: 不，他不勤勞。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_8.mp3,
sentence9,"A: Iraay ko fa’inayan a safa iso haw? B: Cowa, awaay ko fa’inayan a safa ako.",A: 你有弟弟嗎？ B: 不，我沒有弟弟。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_9.mp3,
