id,amis,chinese,sound,image
TITLE,南勢阿美語 否定句 5_1到5_27,,,
sentence1,"A: U tuul haw kiraan? B: Caay,caay kaw tuul kiraan.",A: 那是貓頭鷹嗎？ B: 不，那不是貓頭鷹。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_1.mp3,
sentence2,"A: U pasevanaay haw cira? B: Caay,caay kaw pasevanaay cira.",A: 他是老師嗎？ B: 不，他不是老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_2.mp3,
sentence3,"A: U pasevanaay haw nu misu cira? B: Caay,caay kaw pasevanaay nu maku cira.",A: 她是你的老師嗎？ B: 不，她不是我的老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_3.mp3,
sentence4,"A: U lahengangay haw ku vuduy nu nira? B: Caay,caay kaw lahengangay ku vuduy nu nira.",A: 她的衣服是紅色的嗎？ B: 不，她的衣服不是紅色的。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_4.mp3,
sentence5,"A: Vaeket haw kira elun? B: Caay,caay kavaeket kira elun.",A: 那張椅子很重嗎？ B: 不，那張椅子不重。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_5.mp3,
sentence6,"A: Tarakaw haw ku wina nu misu? B: Caay,caay katarakaw ku wina nu maku.",A: 你媽媽很高嗎？ B: 不，我媽媽不高。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_6.mp3,
sentence7,"A: Raraya’ haw ku vukes nu misu? B: Caay,caay kararaya ku vukes nu maku.",A: 你的頭髮很長嗎？ B: 不，我的頭髮不長。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_7.mp3,
sentence8,"A: Malaluk haw kira tamdaw? B: Caay,caay kalaluk cira.",A: 那個人很勤勞嗎？ B: 不，他不勤勞。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_8.mp3,
sentence9,"A: Ira haw ku sava nu misu tu vavainayan? B: Awaay,awaay ku sava nu maku tu vavainayan .",A: 你有弟弟嗎？ B: 不，我沒有弟弟。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_9.mp3,
sentence10,"A: Tataak haw kira luma’? B: Caay,caay katataak kira luma’.",A: 那間房子很大嗎？ B: 不，那間房子不大。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_10.mp3,
sentence11,"A: Caledes haw anini? B: Caay,caay kacaledes anini.",A: 今天熱嗎？ B: 不，今天不熱。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_11.mp3,
sentence12,"A: Saremiremiad sa haw a mimelaw tu tilivi ku heni? B: Caay,caay kasaremiremiad sa a mimelaw tu tilivi ku heni.",A: 他們天天看電視嗎？ B: 不，他們沒有天天看電視。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_12.mp3,
sentence13,"A: Saremiremiad sa haw kisu a micudad? B: Caay,caay kasaremiremiad sa kaku a micudad.",A: 你天天讀書嗎？ B: 不，我沒有天天讀書。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_13.mp3,
